(0.8903925586734076,1.1231001318001759)
(0.9620234805627839,1.0395256932094918)
(0.2653649153854885,3.7683956771275766)
(0.28753066611056555,3.4778899013695646)
(0.19434265339151485,5.145550822471485)
(0.10204493843546318,9.807003184280815)
(0.16831976730592527,5.941266942365025)
(0.1710204994347449,5.847252249322094)
(0.18517599750093475,5.400267926165497)
(0.17166363373692045,5.825858093270326)
(0.18613130757475338,5.372926671812761)
(0.17593866725253063,5.684722304063314)
(0.17533348421755354,5.703499932138096)
(0.1774956817341431,5.633939880846351)
(0.18411634025457602,5.4316399084179805)
(0.17660962244090694,5.662205638509856)
(0.17838299938189237,5.606402890227299)
(0.17892455115158565,5.588947931202553)
(0.18270351387085715,5.473575406582305)
(0.1769906928705206,5.650387708981859)
(0.18190736027381682,5.497319697282616)
(0.1782429260224975,5.610617528122321)
(0.17988155514043846,5.559284648678995)
(0.18109039799577997,5.5224558255350535)
(0.17974448877151727,5.563537901793172)
(0.17983134991432953,5.561406658920624)
(0.18048818336001418,5.540537870541105)
(0.1809343903916714,5.526920501597617)
(0.18089718288562193,5.528623683362848)
(0.18022187796343314,5.548723964384772)
(0.18027768155476667,5.546998338206437)
(1.0,1.0000022997624525)
(0.18061969129124208,5.5365038221760745)
(0.17892455115158565,5.588947931202553)
(0.7196685520277377,1.3911077592903918)
(0.8015821008535764,1.2475328465233135)
(0.5035016719987973,1.9860907234532257)
(0.2796912903309665,3.5753705409155647)
(0.16878410803950278,5.924728409655468)
(0.1747547372887726,5.722305532396269)
(0.1729097963913792,5.783405856937513)
(0.17583239224188124,5.687273508007928)
(0.17510667637569902,5.710804526119017)
(0.1769943508638432,5.650262750297866)
(0.17820556044688557,5.6120397906779615)
(0.17685541463807486,5.654554202845981)
(0.1765940477588422,5.6630966330369805)
(0.17770974696973885,5.627633477555975)
(0.17523375836683963,5.707282405401412)
(0.17892455115158565,5.588947931202553)
(0.17961918889075013,5.567344289566344)
(0.17760381799566385,5.630970983515478)
(0.18536138448985345,5.395421260251722)
(0.1783132437755943,5.608316268406916)
(0.18247720538477916,5.480538533145311)
(0.18043832863455897,5.542150210456051)
(0.179810294793292,5.561598171465645)
(0.18249847223763876,5.479532215787629)
(0.1801889219974927,5.549826244474514)
(0.1806990901576915,5.5340993030445675)
(0.18027401199781606,5.547346351780119)
(0.18061148751824277,5.5367552581104285)
(0.1,10.0)
(0.6078540662866284,1.6453268927155371)
(0.3913037648255342,2.5561931603714445)
(0.5737148563873121,1.7430261546598418)
(0.4726291805279498,2.115823654567734)
(0.42198326858455737,2.3697622025495524)
(0.47160133536571247,2.120435047590632)
(0.4442357405914972,2.2510665955612135)
(0.33569007583340416,2.9789382290118067)
(0.3710117594869347,2.6953323565346863)
(0.32288715641305626,3.0970572230526914)
(0.23218672823434583,4.306878380191916)
(0.3642385575708935,2.7454657428127947)
(0.4302749363883478,2.3240953990809325)
(0.22552616527811484,4.434075304596333)
(0.2684175969366518,3.7260750486192675)
(0.21818123554947172,4.583452128288671)
(0.24570594521711386,4.0699055902630565)
(0.32849601361060143,3.0441769719172243)
(0.24159642723359048,4.1392684853550445)
(0.19913764641310117,5.021652198929527)
(0.12288711874026986,8.13806171764012)
(0.11977490720991779,8.349665920958635)
(0.15362279510047167,6.5094506277273805)
(0.20748368236458667,4.819903001895109)
(0.11119845805451546,8.992930455112482)
(0.21083863824931304,4.742963663128564)
(0.14050135281412038,7.117369192330653)
(0.11347415304727163,8.812579544730465)
(0.1275131773688949,7.842955881221212)
(0.10642219998450139,9.39678331487861)
(0.13873563163472286,7.209444382648291)
(0.14512076063520712,6.890812834930761)
(0.10398979899663596,9.619802438401212)
(0.15962001480361515,6.264878506810861)
(0.13556716596327184,7.377338509417068)
(0.15019846833913117,6.658765771974513)
(0.16355633317091903,6.114820946276326)
